age,sex,DR,f,i,prev,r,,,age,sex,DR,f,i,prev,r,,,DR,f,i,prev
27,female,0.190809555,0.000034851,0.000542125,0.004311055,0,,,27,female,0.07406486,8.01804E-07,0.000340429,0.005529508,0,,,2.576249441,43.4657429,1.592474998,0.779645357
27,male,0.134916409,0.000025103,0.000771188,0.007011491,0,,,27,male,0.059372427,6.79275E-07,0.000343589,0.005481281,0,,,2.272374814,36.95558362,2.244506515,1.279170096
28,female,0.190809555,0.000053992,0.000592182,0.004875362,0,,,28,female,0.07406486,8.01804E-07,0.000340429,0.005529508,0,,,2.576249441,67.33816506,1.739515848,0.881699107
28,male,0.134916409,0.000037743,0.000822696,0.007802231,0,,,28,male,0.059372427,6.79275E-07,0.000343589,0.005481281,0,,,2.272374814,55.56366142,2.394418133,1.423431989
29,female,0.190809555,7.7918E-05,0.000644864,0.005490295,0,,,29,female,0.07406486,8.01804E-07,0.000340429,0.005529508,0,,,2.576249441,97.17838097,1.894267553,0.992908465
29,male,0.134916409,0.000053544,0.000874279,0.008643286,0,,,29,male,0.059372427,6.79275E-07,0.000343589,0.005481281,0,,,2.272374814,78.82523083,2.544548036,1.576873305
30,female,0.190809555,0.000106629,0.000700171,0.006158311,0,,,30,female,0.073177143,1.12982E-06,0.000367677,0.007312102,0,,,2.607502105,94.37708649,1.904309553,0.84220797
30,male,0.134916409,0.000072505,0.000925937,0.009534546,0,,,30,male,0.058610905,1.20761E-06,0.000372587,0.007283378,0,,,2.301899429,60.04004784,2.485157101,1.309082972
31,female,0.190809555,0.000134198,0.000760684,0.00688314,0,,,31,female,0.073177143,1.12982E-06,0.000367677,0.007312102,0,,,2.607502105,118.778346,2.068891468,0.941335273
31,male,0.134916409,9.1126E-05,0.000978734,0.010476421,0,,,31,male,0.058610905,1.20761E-06,0.000372587,0.007283378,0,,,2.301899429,75.45975312,2.626860952,1.438401403
32,female,0.190809555,0.000155838,0.000823777,0.007668497,0,,,32,female,0.073177143,1.12982E-06,0.000367677,0.007312102,0,,,2.607502105,137.931861,2.24049041,1.048740359
32,male,0.134916409,0.000106249,0.001032593,0.011469833,0,,,32,male,0.058610905,1.20761E-06,0.000372587,0.007283378,0,,,2.301899429,87.98282937,2.771415146,1.574795809
33,female,0.190809555,0.000171551,0.000889451,0.008516798,0,,,33,female,0.073177143,1.12982E-06,0.000367677,0.007312102,0,,,2.607502105,151.8394017,2.419109098,1.16475364
33,male,0.134916409,0.000117871,0.001087517,0.012515671,0,,,33,male,0.058610905,1.20761E-06,0.000372587,0.007283378,0,,,2.301899429,97.60679235,2.918827733,1.718388248
34,female,0.190809555,0.000181336,0.000957705,0.009430446,0,,,34,female,0.073177143,1.12982E-06,0.000367677,0.007312102,0,,,2.607502105,160.5000831,2.604744814,1.289703748
34,male,0.134916409,0.000125995,0.001143503,0.013614825,0,,,34,male,0.058610905,1.20761E-06,0.000372587,0.007283378,0,,,2.301899429,104.3341263,3.069090662,1.869300917
35,female,0.190809555,0.000185192,0.001028539,0.010411835,0,,,35,female,0.072659773,2.22793E-06,0.000409118,0.009222841,0,,,2.626068706,83.12301151,2.514038494,1.128918387
35,male,0.134916409,0.000130619,0.001200553,0.014768175,0,,,35,male,0.057443303,3.1632E-06,0.000413587,0.009218297,0,,,2.348688221,41.2933436,2.902782931,1.602050249
36,female,0.190809555,0.000183121,0.001101953,0.011463351,0,,,36,female,0.072659773,2.22793E-06,0.000409118,0.009222841,0,,,2.626068706,82.19344783,2.69348295,1.242930542
36,male,0.134916409,0.000131743,0.001258666,0.0159766,0,,,36,male,0.057443303,3.1632E-06,0.000413587,0.009218297,0,,,2.348688221,41.64868025,3.0432927,1.73314008
37,female,0.190809555,0.000183942,0.00118135,0.012588996,0,,,37,female,0.072659773,2.22793E-06,0.000409118,0.009222841,0,,,2.626068706,82.56195183,2.887551541,1.364980242
